event_id,event_title,event_sub_title,platform
KXVALORANTMAP-26MAR30PGSQOR-1,vcl north america stage 2 2026 pigeons vs qor map 1,map 1 pgs vs qor mar 30,kalshi
KXVALORANTMAP-26MAR30D1SLP-1,vcl north america stage 2 2026 division one vs sleepers map 1,map 1 d1 vs slp mar 30,kalshi
KXVALORANTMAP-26MAR31NRGAYFP-1,vcl north america stage 2 2026 nrg academy vs yfp gaming map 1,map 1 nrga vs yfp mar 31,kalshi
KXVALORANTMAP-26MAR31AGNBG-2,vcl north america stage 2 2026 alliance guardians vs nightblood gaming map 2,map 2 ag vs nbg mar 31,kalshi
KXVALORANTMAP-26MAR30SADSRGC-2,vcl north america stage 2 2026 sad esports vs shopify rebellion gc map 2,map 2 sad vs srgc mar 30,kalshi
KXVALORANTMAP-26MAR31AGNBG-1,vcl north america stage 2 2026 alliance guardians vs nightblood gaming map 1,map 1 ag vs nbg mar 31,kalshi
KXVALORANTMAP-26MAR30EVIROSE-2,vcl north america stage 2 2026 team evictix vs rose map 2,map 2 evi vs rose mar 30,kalshi
KXVALORANTMAP-26MAR30SADSRGC-1,vcl north america stage 2 2026 sad esports vs shopify rebellion gc map 1,map 1 sad vs srgc mar 30,kalshi
KXVALORANTMAP-26MAR30EVIROSE-1,vcl north america stage 2 2026 team evictix vs rose map 1,map 1 evi vs rose mar 30,kalshi
KXVALORANTGAME-26MAR30PGSQOR,pigeons vs qor,pigeons vs qor mar 30,kalshi
KXVALORANTGAME-26MAR31NRGAYFP,nrg academy vs yfp gaming,nrg academy vs yfp gaming mar 31,kalshi
KXVALORANTGAME-26MAR30SADSRGC,sad esports vs shopify rebellion gc,sad esports vs shopify rebellion gc mar 30,kalshi
KXVALORANTGAME-26MAR30D1SLP,division one vs sleepers,division one vs sleepers mar 30,kalshi
KXVALORANTGAME-26MAR30EVIROSE,team evictix vs rose,team evictix vs rose mar 30,kalshi
KXVALORANTGAME-26MAR31M80EGA,m80 vs evil geniuses academy,m80 vs evil geniuses academy mar 31,kalshi
KXVALORANTGAME-26MAR31AGNBG,alliance guardians vs nightblood gaming,alliance guardians vs nightblood gaming mar 31,kalshi
KXVALORANTGAME-26MAR31SRADG,shopify rebellion vs azure dragon gaming,shopify rebellion vs azure dragon gaming mar 31,kalshi
KXOWGAME-26MAR29DEGNP,ocs china stage 1 2026 deg vs naive piggy,deg vs naive piggy mar 29,kalshi
KXOWGAME-26MAR29MTHE,ocs china stage 1 2026 milk tea vs homie e,milk tea vs homie e mar 29,kalshi
KXNBA2HWINNER-26MAR29ORLTOR,orlando vs toronto second half winner,orl vs tor mar 29,kalshi
KXNBA1HWINNER-26MAR29ORLTOR,orlando vs toronto first half winner,orl vs tor mar 29,kalshi
KXNBA2HWINNER-26MAR29MIAIND,miami vs indiana second half winner,mia vs ind mar 29,kalshi
KXNBA1HWINNER-26MAR29MIAIND,miami vs indiana first half winner,mia vs ind mar 29,kalshi
KXMLBHRR-26MAR281610COLMIA,colorado vs miami hits runs rbis,col vs mia mar 28,kalshi
KXMLBHRR-26MAR281605TEXPHI,texas vs philadelphia hits runs rbis,tex vs phi mar 28,kalshi
KXUFCVICROUND-26MAR28ADEPYF,israel adesanya vs joe pyfer round of victory,israel adesanya vs joe pyfer mar 28,kalshi
KXUFCROUNDS-26MAR28ADEPYF,israel adesanya vs joe pyfer round of finish,israel adesanya vs joe pyfer mar 28,kalshi
